STD PET CSV
CTSL,HDR_XT,DVALTIME,XA32S19,YA32S19,ZA32S19,XVELS15,YVELS15,ZVELS15,LAT,LONG,TRKQ,TRRKQ,MUTRK,LR,TT,LTN,CGTN,ID,CATE,CSOURCE,RPRTCTSL,RPRTPU,RSOURCE,TRKST,CEPN,CECUID,ONAME,SNAME,M1,M2,M3,M4,Altitude,Size,Geometry,File Type,Special Point Type,Platform,Activity,Spec Type,STN
900,63020.000,63020.000,0.000000,0.000000,4.742707,0.106166,-0.032458,0.000000,36.694000,-74.465000,7,0,0,0,0,0,0,3,1,0,0,0,0,99,0,0,CAP 1,TSPI,0,0,0,0,9485.413667,0,WGSLLA,PETARC,0,0,0,0,0
900,63029.000,63029.000,0.978723,-0.303388,4.747969,0.105687,-0.034340,0.000000,36.689000,-74.445000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9496.237667,0,WGSLLA,PETARC,0,0,0,0,0
900,63041.000,63041.000,2.251238,-0.667139,4.749522,0.106297,-0.030480,0.000000,36.683000,-74.419000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9500.621333,0,WGSLLA,PETARC,0,0,0,0,0
900,63053.000,63053.000,3.523960,-1.030546,4.757571,0.107471,-0.022844,0.000000,36.677000,-74.393000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9519.000000,0,WGSLLA,PETARC,0,0,0,0,0
900,63057.000,63057.000,3.964500,-1.090891,4.751710,0.107418,-0.022832,0.000000,36.676000,-74.384000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9508.257667,0,WGSLLA,PETARC,0,0,0,0,0
900,63072.000,63072.000,5.629066,-1.453383,4.761723,0.107418,-0.022832,0.000000,36.670000,-74.350000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9533.116333,0,WGSLLA,PETARC,0,0,0,0,0
900,63106.000,63106.000,9.301781,-2.236625,4.765415,0.106497,-0.028536,0.000000,36.657000,-74.275000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9557.015667,0,WGSLLA,PETARC,0,0,0,0,0
900,63150.000,63150.000,11.759218,-6.115728,4.722255,-0.013928,-0.113435,0.000000,36.593000,-74.225000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9494.824000,0,WGSLLA,PETARC,0,0,0,0,0
900,63170.000,63170.000,10.636444,-7.999924,4.687036,-0.089601,-0.053837,0.000000,36.562000,-74.248000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9424.850667,0,WGSLLA,PETARC,0,0,0,0,0
900,63185.000,63185.000,9.264672,-8.366960,4.671742,-0.097911,-0.005131,0.000000,36.556000,-74.276000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9388.185333,0,WGSLLA,PETARC,0,0,0,0,0
900,63200.000,63200.000,7.794208,-8.430339,4.681600,-0.097931,-0.003420,0.000000,36.555000,-74.306000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9401.032667,0,WGSLLA,PETARC,0,0,0,0,0
900,63215.000,63215.000,6.372777,-8.493269,4.721974,-0.096777,-0.001689,0.000000,36.554000,-74.335000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9476.327000,0,WGSLLA,PETARC,0,0,0,0,0
900,63231.000,63231.000,4.951179,-8.495017,4.738770,-0.096668,0.001687,0.000000,36.554000,-74.364000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9505.324667,0,WGSLLA,PETARC,0,0,0,0,0
900,63246.000,63246.000,3.480498,-8.435664,4.750879,-0.096842,0.003382,0.000000,36.555000,-74.394000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9525.705667,0,WGSLLA,PETARC,0,0,0,0,0
900,63261.000,63261.000,1.813758,-8.375907,4.752780,-0.097100,0.006790,0.000000,36.556000,-74.428000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9526.695000,0,WGSLLA,PETARC,0,0,0,0,0
900,63281.000,63281.000,-0.147056,-8.194198,4.767624,-0.092020,0.024657,0.000000,36.559000,-74.468000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9554.582000,0,WGSLLA,PETARC,0,0,0,0,0
900,63301.000,63301.000,-1.470185,-6.980031,4.770994,-0.030514,0.083836,0.000000,36.579000,-74.495000,7,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9556.629667,0,WGSLLA,PETARC,0,0,0,0,0
900,63327.000,63327.000,-0.538826,-4.977101,4.695024,0.090322,0.048025,0.000000,36.612000,-74.476000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9397.262667,0,WGSLLA,PETARC,0,0,0,0,0
900,63342.000,63342.000,0.881622,-4.552106,4.642273,0.109558,0.005742,0.000000,36.619000,-74.447000,3,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9290.732333,0,WGSLLA,PETARC,0,0,0,0,0
900,63357.000,63357.000,2.302115,-4.733736,4.660262,0.108674,-0.011422,0.000000,36.616000,-74.418000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9328.490667,0,WGSLLA,PETARC,0,0,0,0,0
900,63370.000,63370.000,4.065601,-4.854004,4.709680,0.106343,-0.011177,0.000000,36.614000,-74.382000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9430.868667,0,WGSLLA,PETARC,0,0,0,0,0
900,63372.000,63372.000,3.869650,-4.854147,4.693746,0.106343,-0.011177,0.000000,36.614000,-74.386000,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9398.558000,0,WGSLLA,PETARC,0,0,0,0,0
900,63385.000,63385.000,5.584326,-5.034564,4.728364,0.105042,-0.011040,0.000000,36.611000,-74.351000,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,CAP 1,TSPI,0,0,0,0,9472.942333,0,WGSLLA,PETARC,0,0,0,0,0
