CTSL,HDR_XT,DVALTIME,XA32S19,YA32S19,ZA32S19,XVELS15,YVELS15,ZVELS15,LAT,LONG,TRKQ,TRRKQ,MUTRK,LR,TT,STN,CGTN,ID,CATE,CSOURCE,RPRTCTSL,RPRTPU,RSOURCE,TRKST,CEPN,CECUID,ONAME,SNAME,M1,M2,M3,M4,Altitude,Size,,
73,63451.416,63450.691,66.140743,-10.095737,4.221483,0.10666,-0.01596,-0.00613,36.596099,-74.211488,9,10,0,0,0,7110,0,3,1,13,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9723.449258,1,WGSLLA,PETARC
73,63451.417,63450.691,66.140743,-10.095737,4.221483,0.10666,-0.01596,-0.00613,36.596099,-74.211488,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9723.449258,1,WGSLLA,PETARC
73,63676.444,63676.245,53.601269,-8.623678,4.373318,-0.03918,-0.10526,-0.00482,36.623055,-74.461341,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9589.738555,1,WGSLLA,PETARC
73,63676.511,63676.245,53.601269,-8.623678,4.373318,-0.03918,-0.10526,-0.00482,36.623055,-74.461341,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9589.738555,1,WGSLLA,PETARC
73,63676.512,63676.245,53.601269,-8.623678,4.373318,-0.03918,-0.10526,-0.00482,36.623055,-74.461341,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9589.738555,1,WGSLLA,PETARC
73,63677.491,63677.231,53.590317,-8.750771,4.379215,-0.03433,-0.10916,-0.00305,36.620936,-74.461566,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9601.829738,1,WGSLLA,PETARC
73,63678.312,63678.215,53.583397,-8.878679,4.38702,-0.02963,-0.11261,-0.00125,36.618863,-74.461739,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9617.873535,1,WGSLLA,PETARC
73,63679.359,63679.2,53.584091,-9.001467,4.393679,-0.02441,-0.11459,0.00006,36.616872,-74.461856,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9631.841893,1,WGSLLA,PETARC
73,63680.43,63680.183,53.593479,-9.112068,4.394699,-0.01862,-0.11429,0.00021,36.615051,-74.46166,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9634.744921,1,WGSLLA,PETARC
73,63681.267,63680.183,53.593479,-9.112068,4.394699,-0.01862,-0.11429,0.00021,36.615051,-74.46166,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9634.744921,1,WGSLLA,PETARC
73,63681.481,63681.176,53.608044,-9.231794,4.398212,-0.0126,-0.11536,0.00079,36.613078,-74.461392,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9642.847533,1,WGSLLA,PETARC
73,63681.905,63681.176,53.608044,-9.231794,4.398212,-0.0126,-0.11536,0.00079,36.613078,-74.461352,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9642.847533,1,WGSLLA,PETARC
73,63682.283,63682.176,53.62933,-9.34791,4.401609,-0.00647,-0.11548,0.00122,36.611163,-74.460946,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9650.913289,1,WGSLLA,PETARC
73,63683.342,63683.158,53.65494,-9.469473,4.402451,-0.00092,-0.11682,0.00119,36.609158,-74.460421,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9654.039992,1,WGSLLA,PETARC
73,63685.44,63685.126,53.72431,-9.693243,4.406525,0.0098,-0.11594,0.00143,36.605463,-74.458999,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9665.549148,1,WGSLLA,PETARC
73,63686.229,63686.112,53.769423,-9.808319,4.401451,0.01596,-0.11603,0.00037,36.60356,-74.458104,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9657.433944,1,WGSLLA,PETARC
73,63688.345,63688.079,53.881378,-10.011341,4.393227,0.02805,-0.11237,-0.00092,36.600198,-74.455794,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9645.590674,1,WGSLLA,PETARC
73,63689.354,63689.063,53.950861,-10.106455,4.387753,0.03528,-0.1098,-0.00168,36.598619,-74.454367,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9637.33651,1,WGSLLA,PETARC
73,63689.519,63689.063,53.950861,-10.106455,4.387753,0.03528,-0.1098,-0.00168,36.598619,-74.454367,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9637.33651,1,WGSLLA,PETARC
73,63689.525,63689.063,53.950861,-10.106455,4.387753,0.03528,-0.1098,-0.00168,36.598619,-74.454367,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9637.33651,1,WGSLLA,PETARC
73,63690.042,63689.063,53.950861,-10.106455,4.387753,0.03528,-0.1098,-0.00168,36.598619,-74.454397,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9637.33651,1,WGSLLA,PETARC
73,63690.152,63690.048,54.024565,-10.203135,4.387627,0.04202,-0.10788,-0.00143,36.597015,-74.452915,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9639.924599,1,WGSLLA,PETARC
73,63691.179,63691.034,54.105173,-10.291191,4.388533,0.0488,-0.1048,-0.00107,36.59552,-74.451232,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9644.747546,1,WGSLLA,PETARC
73,63692.253,63692.017,54.192911,-10.3657,4.388008,0.05569,-0.10004,-0.00101,36.594278,-74.449389,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9646.857282,1,WGSLLA,PETARC
73,63693.167,63692.017,54.192911,-10.3657,4.388008,0.05569,-0.10004,-0.00101,36.594278,-74.449389,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9646.857282,1,WGSLLA,PETARC
73,63694.096,63693.985,54.378281,-10.496601,4.393423,0.06708,-0.09039,0.00006,36.592119,-74.445639,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9664.226268,1,WGSLLA,PETARC
73,63695.151,63694.971,54.478449,-10.55427,4.399603,0.073,-0.08511,0.00107,36.591151,-74.44355,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9680.051897,1,WGSLLA,PETARC
73,63696.24,63695.953,54.583052,-10.599773,4.398537,0.0787,-0.0787,0.00073,36.590382,-74.441427,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9681.45932,1,WGSLLA,PETARC
73,63697.001,63696.938,54.689962,-10.644314,4.402847,0.08383,-0.07318,0.00131,36.589629,-74.439257,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9693.691109,1,WGSLLA,PETARC
73,63697.271,63696.938,54.689962,-10.644314,4.402847,0.08383,-0.07318,0.00131,36.589629,-74.439257,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9693.691109,1,WGSLLA,PETARC
73,63698.078,63697.922,54.803511,-10.656132,4.404543,0.08926,-0.06308,0.00137,36.589413,-74.436904,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9700.710682,1,WGSLLA,PETARC
73,63698.509,63697.922,54.803511,-10.656132,4.404543,0.08926,-0.06308,0.00137,36.589413,-74.436904,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9700.710682,1,WGSLLA,PETARC
73,63699.139,63698.907,54.913891,-10.678118,4.403828,0.09323,-0.05634,0.00104,36.58903,-74.434626,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9702.879132,1,WGSLLA,PETARC
73,63700.041,63698.907,54.913891,-10.678118,4.403828,0.09323,-0.05634,0.00104,36.58903,-74.434596,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9702.879132,1,WGSLLA,PETARC
73,63700.96,63700.877,55.134876,-10.726315,4.399082,0.09933,-0.04663,0,36.588194,-74.430068,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9700.639755,1,WGSLLA,PETARC
73,63702.286,63701.861,55.246218,-10.738083,4.396124,0.10181,-0.04089,-0.00049,36.587979,-74.427798,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9698.311926,1,WGSLLA,PETARC
73,63703.412,63702.846,55.357288,-10.751059,4.388332,0.10382,-0.03632,-0.00171,36.587713,-74.425492,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9686.323381,1,WGSLLA,PETARC
73,63704.536,63703.83,55.466784,-10.762758,4.377127,0.10522,-0.03229,-0.0033,36.587529,-74.423197,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9667.459056,1,WGSLLA,PETARC
73,63704.922,63704.815,55.575621,-10.76873,4.373003,0.10626,-0.02795,-0.00342,36.587409,-74.420977,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,7110,3501,5,9662.705443,1,WGSLLA,PETARC
73,63705.115,63704.815,55.575621,-10.76873,4.373003,0.10626,-0.02795,-0.00342,36.587409,-74.420977,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9662.705443,1,WGSLLA,PETARC
73,63705.519,63704.815,55.575621,-10.76873,4.373003,0.10626,-0.02795,-0.00342,36.587409,-74.420977,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9662.705443,1,WGSLLA,PETARC
73,63707.02,63706.782,55.791496,-10.770172,4.35095,0.1076,-0.02014,-0.00565,36.587312,-74.416536,9,10,0,0,0,7110,1172,3,1,6,73,7110,0,1,0,0,CAP 1,Unit A,70,6110,3501,5,9625.489846,1,WGSLLA,PETARC
